Title,Year,Rating,Casts,Director,Adjusted score,Synopsis,Census
Running Scared,1986,57,"Gregory Hines,  Billy Crystal,  Jimmy Smits,  Steven Bauer",Peter Hyams,58321.0,"Ray and Danny (Gregory Hines, Billy Crystal) are two Chicago police detectives hot on the trail of drug kingpin Julio...","Running Scared struggles to strike a consistent balance between violent action and humor, but the chemistry between its well-matched leads keeps things entertaining."
Equilibrium,2002,41,"Christian Bale,  Emily Watson,  Taye Diggs,  Angus Macfadyen",Kurt Wimmer,42459.0,"In a futuristic world, a regime has eliminated war by suppressing emotions: books, art and music are strictly forbidden and...",No consensus yet.
Hero,2002,94,"Jet Li,  Tony Leung Chiu Wai,  Maggie Cheung Man-yuk,  Donnie Yen",Zhang Yimou,101727.0,"In this visually arresting martial arts epic set in ancient China, an unnamed fighter (Jet Li) is being honored for...","With death-defying action sequences and epic historic sweep, Hero offers everything a martial arts fan could ask for."
Road House,1989,40,"Patrick Swayze,  Kelly Lynch,  Sam Elliott,  Ben Gazzara",Rowdy Herrington,43293.0,"The Double Deuce is the meanest, loudest and rowdiest bar south of the Mason-Dixon Line, and Dalton (Patrick Swayze) has...",No consensus yet.
Unstoppable,2010,87,"Denzel Washington,  Chris Pine,  Rosario Dawson,  Kevin Dunn",Tony Scott,93162.0,"When a massive, unmanned locomotive roars out of control, the threat is more ominous than just a derailment. The train...","As fast, loud, and relentless as the train at the center of the story, Unstoppable is perfect popcorn entertainment -- and director Tony Scott's best movie in years."
Shaft,1971,88,"Richard Roundtree,  Moses Gunn,  Christopher St. John,  Charles Cioffi",Gordon Parks,93125.0,"John Shaft (Richard Roundtree) is the ultimate in suave black detectives. He first finds himself up against Bumpy (Moses Gunn),...","This is the man that would risk his neck for his brother, man. Can you dig it?"
The Villainess,2017,85,"Kim Ok-bin,  Shin Ha-kyun,  Sung Joon,  Kim Seo-hyung",Jeong Byeong-gil,90752.0,"Honed from childhood to be an elite assassin, Sook-hee embarks on a rampage of violence and revenge to finally earn...",The Villainess offers enough pure kinetic thrills to satisfy genre enthusiasts -- and carve out a bloody niche for itself in modern Korean action cinema.
Highlander,1986,70,"Christopher Lambert,  Sean Connery,  Roxanne Hart,  Clancy Brown",Russell Mulcahy,73038.0,When the mystical Russell Nash (Christopher Lambert) kills a man in a sword fight in a New York City parking...,No consensus yet.
Die Hard 2,1990,69,"Bruce Willis,  Bonnie Bedelia,  William Atherton,  Reginald VelJohnson",Renny Harlin,72473.0,"A year after his heroics in L.A, detective John McClane (Bruce Willis) is mixed up in another terrorist plot, this...",No consensus yet.
National Treasure,2004,46,"Nicolas Cage,  Diane Kruger,  Justin Bartha,  Sean Bean",Jon Turteltaub,51360.0,Historian and code-breaker Ben Gates (Nicolas Cage) has been searching his whole life for a rumored treasure dating back to...,"National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot."
The Protector,2005,53,"Tony Jaa,  Johnny Nguyen,  Nathan Jones,  Petchtai Wongkamlao",Prachya Pinkaew,55310.0,A young fighter (Tony Jaa) travels to Australia to retrieve stolen elephants that were promised originally to the king of...,No consensus yet.
Revenge,2017,93,"Matilda Lutz,  Kevin Janssens,  Vincent Colombe,  Guillaume BouchÃ¨de",Coralie Fargeat,100566.0,Jen is enjoying a romantic getaway with her wealthy boyfriend -- until his two sleazy friends arrive for an unannounced...,"Revenge slices and dices genre tropes, working within an exploitation framework while adding a timely -- yet never less than viscerally thrilling -- feminist spin."
El Mariachi,1992,91,"Carlos Gallardo,  Consuelo GÃ³mez,  Reinol Martinez,  Peter Marquardt",Robert Rodriguez,96210.0,El Mariachi (Carlos Gallardo) is a traveling guitar player with the modest desire to play music for a living. Looking...,"Made on a shoestring budget, El Mariachi's story is not new. However, the movie has so much energy that it's thoroughly enjoyable."
A Touch of Zen,1971,97,"Feng Hsu,  Chun Shih,  Pai Ying,  Roy Chiao",King Hu,101657.0,"Ku Shen Chai (Chun Shih), an unmotivated artist in his early 30s, still lives with his mother, but he is...","A brilliantly directed feast for the eyes with an epic story to match, A Touch of Zen marks a groundbreaking achievement in the wuxia genre."
Top Gun,1986,58,"Tom Cruise,  Kelly McGillis,  Anthony Edwards,  Val Kilmer",Tony Scott,62519.0,The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying...,No consensus yet.
Con Air,1997,56,"Nicolas Cage,  John Cusack,  John Malkovich,  Steve Buscemi",Simon West,59903.0,"Just-paroled army ranger Cameron Poe (Nicolas Cage) is headed back to his wife (Monica Potter), but must fly home aboard...",No consensus yet.
The Expendables 2,2012,67,"Sylvester Stallone,  Jason Statham,  Jet Li,  Dolph Lundgren",Simon West,72193.0,"Mercenary leader Barney Ross (Sylvester Stallone), Lee Christmas (Jason Statham) and the rest of the Expendables team reunite when Mr....","Taut, violent, and suitably self-deprecating, The Expendables 2 gives classic action fans everything they can reasonably expect from a star-studded shoot-'em-up -- for better and for worse."
The Mummy,1999,61,"Brendan Fraser,  Rachel Weisz,  John Hannah,  Arnold Vosloo",Stephen Sommers,65170.0,"The Mummy is a rousing, suspenseful and horrifying epic about an expedition of treasure-seeking explorers in the Sahara Desert in...",No consensus yet.
Mr. & Mrs. Smith,2005,60,"Brad Pitt,  Angelina Jolie,  Vince Vaughn,  Adam Brody",Doug Liman,67508.0,"John (Brad Pitt) and Jane Smith (Angelina Jolie), a couple in a stagnating marriage, live a deceptively mundane existence. However,...",No consensus yet.
Rush Hour,1998,61,"Jackie Chan,  Chris Tucker,  Tom Wilkinson,  Elizabeth PeÃ±a",Brett Ratner,63785.0,"When a Chinese diplomat's daughter is kidnapped in Los Angeles, he calls in Hong Kong Detective Inspector Lee (Jackie Chan)...",No consensus yet.
The Equalizer,2014,60,"Denzel Washington,  Marton Csokas,  ChloÃ« Grace Moretz,  David Harbour",Antoine Fuqua,67475.0,"Robert McCall (Denzel Washington), a man of mysterious origin who believes he has put the past behind him, dedicates himself...","The Equalizer is more stylishly violent than meaningful, but with Antoine Fuqua behind the cameras and Denzel Washington dispensing justice, it delivers."
Captain America: Civil War,2016,90,"Chris Evans,  Robert Downey Jr.,  Scarlett Johansson,  Sebastian Stan",Anthony Russo,116991.0,Political pressure mounts to install a system of accountability when the actions of the Avengers lead to collateral damage. The...,Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.
Air Force One,1997,78,"Harrison Ford,  Gary Oldman,  Glenn Close,  Wendy Crewson",Wolfgang Petersen,80827.0,"After making a speech in Moscow vowing to never negotiate with terrorists, President James Marshall (Harrison Ford) boards Air Force...","This late-period Harrison Ford actioner is full of palpable, if not entirely seamless, thrills."
Bloodsport,1988,40,"Jean-Claude Van Damme,  Donald Gibb,  Leah Ayres,  Norman Burton",Newt Arnold,40189.0,"U.S. soldier Frank Dux (Jean-Claude Van Damme) has come to Hong Kong to be accepted into the Kumite, a highly...","This is where it all began for the Muscles from Brussels, but beyond Van Damme's athleticism, Bloodsport is a cliched, virtually plotless exercise in action movie recycling."
Blade,1998,57,"Wesley Snipes,  Stephen Dorff,  Kris Kristofferson,  N'Bushe Wright",Stephen Norrington,63009.0,"A half-mortal, half-immortal is out to avenge his mother's death and rid the world of vampires. The modern-day technologically advanced...","Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation."
Bad Boys,1995,42,"Martin Lawrence,  Will Smith,  Tea Leoni,  Tcheky Karyo",Michael Bay,45915.0,Miami-Dade detectives Mike Lowrey (Will Smith) and Marcus Burnett (Martin Lawrence) blow a fuse when $100 million worth of heroin...,"Bad Boys stars Will Smith and Martin Lawrence have enjoyable chemistry; unfortunately, director Michael Bay too often drowns it out with set pieces and explosions in place of an actual story."
Die Hard With a Vengeance,1995,60,"Bruce Willis,  Jeremy Irons,  Samuel L. Jackson,  Graham Greene",John McTiernan,64761.0,"Detective John McClane (Bruce Willis) is now divorced, alcoholic and jobless after getting fired for his reckless behavior and bad...",No consensus yet.
The Running Man,1987,66,"Arnold Schwarzenegger,  Maria Conchita Alonso,  Richard Dawson,  Yaphet Kotto",Paul Michael Glaser,68246.0,"In the year 2019, America is a totalitarian state where the favorite television program is ""The Running Man"" -- a...",No consensus yet.
Code of Silence,1985,70,"Chuck Norris,  Henry Silva,  Bert Remsen,  Mike Genovese",Andrew Davis,70969.0,"In Chicago, honor-driven Sgt. Eddie Cusack (Chuck Norris) and his team stake out a drug exchange involving notorious drug czar...",No consensus yet.
Shoot 'Em Up,2007,67,"Clive Owen,  Paul Giamatti,  Monica Bellucci,  Daniel Pilon",Michael Davis,73697.0,"After saving a newborn infant from assassins, carrot-crunching gunman Mr. Smith (Clive Owen) teams up with a prostitute named DQ...",No consensus yet.
Crank,2006,61,"Jason Statham,  Amy Smart,  Jose Pablo Cantillo,  Efren Ramirez",Mark Neveldine,64528.0,"Chev Chelios (Jason Statham), a hit man wanting to go straight, lets his latest target slip away, then he awakes...",No consensus yet.
Machete,2010,72,"Danny Trejo,  Robert De Niro,  Jessica Alba,  Steven Seagal",Robert Rodriguez,79203.0,"After nearly being killed during a violent fight with a powerful drug lord, a former Mexican Federale known as Machete...","Machete is messy, violent, shallow, and tasteless -- and that's precisely the point of one of the summer's most cartoonishly enjoyable films."
Drive,2011,93,"Ryan Gosling,  Carey Mulligan,  Bryan Cranston,  Albert Brooks",Nicolas Winding Refn,102458.0,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior,...","With its hyper-stylized blend of violence, music, and striking imagery, Drive represents a fully realized vision of arthouse action."
Batman,1989,71,"Jack Nicholson,  Michael Keaton,  Kim Basinger,  Robert Wuhl",Tim Burton,77368.0,"Having witnessed his parents' brutal murder as a child, millionaire philanthropist Bruce Wayne (Michael Keaton) fights crime in Gotham City...","An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character."
Under Siege,1992,79,"Steven Seagal,  Tommy Lee Jones,  Gary Busey,  Erika Eleniak",Andrew Davis,80786.0,"A heroic loner takes on a group of nuclear terrorists in this seagoing tale. Posing as a rock band, the...",No consensus yet.
Independence Day,1996,68,"Will Smith,  Bill Pullman,  Jeff Goldblum,  Mary McDonnell",Roland Emmerich,71559.0,"In the epic adventure film ""Independence Day,"" strange phenomena surface around the globe. The skies ignite. Terror races through the...","The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers."
Bullitt,1968,98,"Steve McQueen,  Robert Vaughn,  Jacqueline Bisset,  Don Gordon",Peter Yates,102189.0,Senator Walter Chalmers (Robert Vaughn) is aiming to take down mob boss Pete Ross (Vic Tayback) with the help of...,Steve McQueen is cool as ice in this thrilling police procedural that also happens to contain arguably the greatest movie car chase ever.
Wanted,2008,71,"James McAvoy,  Morgan Freeman,  Angelina Jolie,  Terence Stamp",Timur Bekmambetov,79289.0,"Wesley Gibson (James McAvoy) is an office worker whose life is going nowhere. After his estranged father is murdered, he...","Wanted is stylish, energetic popcorn fare with witty performances from Angelina Jolie (playing an expert assassin), James McAvoy, and Morgan Freeman that help to distract from its absurdly over-the-top plot."
Superman: The Movie,1978,94,"Christopher Reeve,  Gene Hackman,  Marlon Brando,  Margot Kidder",Richard Donner,101094.0,"Just before the destruction of the planet Krypton, scientist Jor-El (Marlon Brando) sends his infant son Kal-El on a spaceship...","Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon."
Ronin,1998,68,"Robert De Niro,  Jean Reno,  Natascha McElhone,  Stellan Skarsgard",John Frankenheimer,71486.0,"Deirdre (Natascha McElhone) puts together a team of experts that she tasks with stealing a valuable briefcase, the contents of...",No consensus yet.
They Live,1988,85,"Roddy Piper,  Keith David,  Meg Foster,  George ""Buck"" Flower",John Carpenter,88818.0,"Nada (Roddy Piper), a wanderer without meaning in his life, discovers a pair of sunglasses capable of showing the world...","A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter."
Cliffhanger,1993,67,"Sylvester Stallone,  John Lithgow,  Michael Rooker,  Janine Turner",Renny Harlin,71273.0,Outdoor thriller in which a former mountain rescuer is pitted against a group of criminals who have lost their $100...,No consensus yet.
Marvel's the Avengers,2012,91,"Robert Downey Jr.,  Chris Evans,  Mark Ruffalo,  Chris Hemsworth",Joss Whedon,105986.0,"When Thor's evil brother, Loki (Tom Hiddleston), gains access to the unlimited power of the energy cube called the Tesseract,...","Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies."
Hot Fuzz,2007,91,"Simon Pegg,  Nick Frost,  Jim Broadbent,  Paddy Considine",Edgar Wright,99730.0,"As a former London constable, Nicholas Angel (Simon Pegg) finds if difficult to adapt to his new assignment in the...",The brilliant minds behind Shaun of the Dead successfully take a shot at the buddy cop genre with Hot Fuzz. The result is a bitingly satiric and hugely entertaining parody.
The Warriors,1979,87,"Michael Beck,  James Remar,  Dorsey Wright,  Brian Tyler",Walter Hill,89719.0,A turf battle between New York City street gangs that rages from Coney Island to the Bronx. The Warriors are...,"As violent as it is stylish, The Warriors is a thrilling piece of pulp filmmaking."
Starship Troopers,1997,66,"Casper Van Dien,  Dina Meyer,  Denise Richards,  Jake Busey",Paul Verhoeven,70054.0,"In the distant future, the Earth is at war with a race of giant alien insects. Little is known about...",A fun movie...if you can accept the excessive gore and wooden acting.
Elite Squad 2,2010,91,"Wagner Moura,  Irandhir Santos,  AndrÃ© Ramiro,  Pedro Van-Held",JosÃ© Padilha,91964.0,"Dirty cops and corrupt, powerful politicians threaten Nascimento (Wagner Moura)....","Elite Squad: The Enemy Within is a bleak, violent descent into the Brazilian underbelly, ripping into the favelas with unstoppable and kinetic force."
Point Break,1991,69,"Patrick Swayze,  Keanu Reeves,  Gary Busey,  Lori Petty",Kathryn Bigelow,72881.0,"After a string of bizarre bank robberies in Southern California, with the crooks donning masks of various former presidents, a...","Absurd, over-the-top, and often wildly entertaining, Point Break is here to show you that the human spirit is still alive."
The Long Kiss Goodnight,1996,70,"Geena Davis,  Samuel L. Jackson,  Patrick Malahide,  Craig Bierko",Renny Harlin,70197.0,Schoolteacher and single mother Samantha Caine (Geena Davis) lives an average suburban life -- until she begins having strange memories...,No consensus yet.
The Guest,2014,92,"Dan Stevens,  Maika Monroe,  Leland Orser,  Sheila Kelley",Adam Wingard,95290.0,A string of mysterious deaths leads a teenager to become suspicious of a soldier (Dan Stevens) who showed up on...,"Boasting enough intelligence to bolster its darkly violent thrills, The Guest offers another treat for genre fans from director Adam Wingard."
Taken,2008,59,"Liam Neeson,  Maggie Grace,  Famke Janssen,  Leland Orser",Pierre Morel,64988.0,"Bryan Mills (Liam Neeson), a former government operative, is trying to reconnect with his daughter, Kim (Maggie Grace). Then his...","Taken is undeniably fun with slick action, but is largely a brainless exercise."
300,2006,61,"Gerard Butler,  Lena Headey,  David Wenham,  Dominic West",Zack Snyder,71221.0,"In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the...",No consensus yet.
True Lies,1994,71,"Arnold Schwarzenegger,  Jamie Lee Curtis,  Tom Arnold,  Bill Paxton",James Cameron,74154.0,"Secretly a spy but thought by his family to be a dull salesman, Harry Tasker (Arnold Schwarzenegger) is tracking down...",No consensus yet.
Demolition Man,1993,60,"Sylvester Stallone,  Wesley Snipes,  Sandra Bullock,  Nigel Hawthorne",Marco Brambilla,60895.0,"With innocent victims caught in the crossfire in Los Angeles' intensifying war on crime, both cop John Spartan (Sylvester Stallone)...","A better-than-average sci-fi shoot-em-up with a satirical undercurrent, Demolition Man is bolstered by strong performances by Sylvester Stallone, Wesley Snipes, and Sandra Bullock."
Hardcore Henry,2015,51,"Sharlto Copley,  Danila Kozlovsky,  Haley Bennett,  Dasha Charusha",Ilya Naishuller,59731.0,A man wakes up in a Moscow laboratory to learn that he's been brought back from the dead as a...,No consensus yet.
Police Story,1985,93,"Jackie Chan,  Brigitte Lin,  Maggie Cheung,  Bill Tung",Jackie Chan,93766.0,A kung-fu policeman (Jackie Chan) must protect a female witness (Brigitte Lin) from a Hong Kong drug lord for whom...,"Blending brilliant physical comedy with thrillingly choreographed set pieces, Police Story makes a persuasive case for Jackie Chan as one of the all-time genre greats."
Brotherhood of the Wolf,2001,73,"Samuel Le Bihan,  Mark Dacascos,  Ãmilie Dequenne,  Vincent Cassel",Christophe Gans,76669.0,"In a rural province of France, a mysterious creature is laying waste to the countryside, savagely killing scores of women...","Brotherhood of the Wolf mixes its genres with little logic, but the end result is wildly entertaining."
Kingsman: The Secret Service,2014,75,"Colin Firth,  Michael Caine,  Taron Egerton,  Samuel L. Jackson",Matthew Vaughn,84699.0,"Gary ""Eggsy"" Unwin (Taron Egerton), whose late father secretly worked for a spy organization, lives in a South London housing...","Stylish, subversive, and above all fun, Kingsman: The Secret Service finds director Matthew Vaughn sending up the spy genre with gleeful abandon."
The Fifth Element,1997,71,"Bruce Willis,  Gary Oldman,  Ian Holm,  Milla Jovovich",Luc Besson,74101.0,"In the 23rd century, a New York City cabbie, Korben Dallas (Bruce Willis), finds the fate of the world in...",No consensus yet.
Big Trouble in Little China,1986,74,"Kurt Russell,  Kim Cattrall,  Dennis Dun,  James Hong",John Carpenter,79850.0,"Kurt Russell plays hard-boiled truck driver Jack Burton, who gets caught in a bizarre conflict within, and underneath, San Francisco's...","Brimming with energy and packed with humor, Big Trouble in Little China distills kung fu B-movies as affectionately as it subverts them."
Atomic Blonde,2017,79,"Charlize Theron,  James McAvoy,  Eddie Marsan,  John Goodman",David Leitch,105292.0,"Sensual and savage, Lorraine Broughton is the most elite spy in MI6, an agent who's willing to use all of...",Atomic Blonde gets enough mileage out of its stylish action sequences -- and ever-magnetic star -- to make up for a narrative that's somewhat less hard-hitting than its protagonist.
Rumble in the Bronx,1995,80,"Jackie Chan,  Anita Mui,  Bill Tung,  FranÃ§oise Yip",Stanley Tong,81428.0,"Hong Kong policeman Keung (Jackie Chan) arrives in New York for the wedding of his uncle Bill (Bill Tung), a...",An entertaining Jackie Chan stunt-fest in which the impressive action sequences overcome the low production value and by-the-numbers plot.
District B13,2004,80,"Cyril Raffaelli,  David Belle,  Tony D'Amario,  Larbi Naceri",Pierre Morel,84476.0,"In 21st-century Paris, a member (Cyril Raffaelli) of an elite police squad must enter a crime-ridden ghetto to defuse a...","A nonstop thrill ride, District B13's dizzying action sequences more than make up for any expository flaws."
Beverly Hills Cop,1984,83,"Eddie Murphy,  Judge Reinhold,  John Ashton,  Lisa Eilbacher",Martin Brest,87051.0,"After his childhood buddy is murdered while visiting Detroit, rebellious cop Axel Foley (Eddie Murphy) follows the leads to Beverly...","The buddy cop movie continues its evolution unabated with this Eddie Murphy vehicle that's fast, furious, and funny."
Ong-Bak: The Thai Warrior,2003,85,"Tony Jaa,  Pumwaree Yodkamol,  Petchtai Wongkamlao,  Suchao Pongwilai",Prachya Pinkaew,88825.0,"In Thailand, the impoverished village of Ban Nong Pradu has its most precious Buddha statue stolen from the temple. Luckily...","While Ong-Bak: The Thai Warrior may be no great shakes as a movie, critics are hailing the emergence of a new star in Tony Jaa, whose athletic performance is drawing comparisons with Bruce Lee, Jackie Chan, and Jet Li."
Collateral,2004,86,"Tom Cruise,  Jamie Foxx,  Jada Pinkett Smith,  Mark Ruffalo",Michael Mann,94724.0,A cab driver realizes his current fare is a hit man that has been having him drive around from mark...,"Driven by director Michael Mann's trademark visuals and a lean, villainous performance from Tom Cruise, Collateral is a stylish and compelling noir thriller."
Iron Monkey,1993,91,"Rongguang Yu,  Donnie Yen,  Sze-Man Tsang,  Jean Wang",Woo-Ping Yuen,93283.0,"In a desperate and unjust land, where government corruption rules the day, only one man has the courage to challenge...","Iron Monkey may not have the poetic lyricism of Crouching Tiger, it makes up for it in fun and energy."
Escape From New York,1981,86,"Kurt Russell,  Ernest Borgnine,  Adrienne Barbeau,  Lee Van Cleef",John Carpenter,91500.0,"In 1997, a major war between the United States and the Soviet Union is concluding, and the entire island of...","Featuring an atmospherically grimy futuristic metropolis, Escape from New York is a strange, entertaining jumble of thrilling action and oddball weirdness."
Battle Royale,2000,88,"Tatsuya Fujiwara,  Aki Maeda,  Taro Yamamoto,  Masanobu AndÃ´",Kinji Fukasaku,88116.0,"42 9th graders are sent to a deserted island. They are given a map, food, and various weapons. An explosive...","Battle Royale is a controversial and violent parable of adolescence, heightening teenage melodrama with life-or-death stakes."
Spider-Man 2,2004,93,"Tobey Maguire,  Kirsten Dunst,  James Franco,  Alfred Molina",Sam Raimi,103320.0,"When a failed nuclear fusion experiment results in an explosion that kills his wife, Dr. Otto Octavius (Alfred Molina) is...","Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original."
13 Assassins,2010,95,"Koji Yakusho,  Takayuki Yamada,  Yusuke Iseya,  Goro Inagaki",Takashi Miike,99624.0,"In this remake of a 1963 film based on historical events, Shinzaemon Shimada (Koji Yakusho) leads a team of assassins...","Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache."
Full Contact,1992,88,"Chow Yun-Fat,  Simon Yam,  Bonnie Fu,  Wong Chow-Sang",Ringo Lam,66866.0,"Jeff (Chow Yun-Fat), who works as a nightclub bouncer in Bangkok, saves his friend Sam (Wong Chow-Sang) from a beating...",No consensus yet.
Indiana Jones and the Last Crusade,1989,88,"Harrison Ford,  Sean Connery,  Denholm Elliott,  Alison Doody",Steven Spielberg,92982.0,An art collector appeals to Jones to embark on a search for the Holy Grail. He learns that another archaeologist...,"Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery."
Kung Fu Hustle,2004,91,"Stephen Chow,  Yuen Wah,  Yuen Qiu,  Siu-Lung Leung",Stephen Chow,97403.0,"When the hapless Sing (Stephen Chow) and his dim-witted pal, Bone (Feng Xiaogang), try to scam the residents of Pig...","Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect."
